         4074313 function calls (4065842 primitive calls) in 57.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1024    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\managers.py:2177(_grouping_func)
       11    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:790(copy)
       12    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\cast.py:124(maybe_convert_platform)
        1    0.000    0.000    0.001    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:1186(_get_binary_io_classes)
        1    0.000    0.000    0.001    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\compat\_optional.py:85(import_optional_dependency)
        1    0.000    0.000    0.001    0.001 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\importlib\__init__.py:73(import_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1349(_find_and_load)
     6144    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\indexes\range.py:376(dtype)
     1028    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:642(<genexpr>)
     1044    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:416(extract_array)
     1044    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:735(_sanitize_str_dtypes)
     3201    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     2060    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\warnings.py:456(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
     1044    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\construction.py:758(_maybe_repeat)
     1024    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:865(_references)
        4    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:5136(reindex)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1520(find_spec)
        4    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:5343(reindex)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2056    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:529(is_string_or_object_np_dtype)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
       73    0.000    0.000    0.001    0.000 <frozen ntpath>:107(join)
       12    0.001    0.000    0.001    0.000 {built-in method nt.stat}
     1048    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\flags.py:51(__init__)
     4133    0.001    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\typing.py:2154(cast)
     1062    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\series.py:5773(isna)
       89    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:113(__init__)
     2060    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:8693(isna)
        4    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1990(__exit__)
        4    0.000    0.000    0.001    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1622(close)
        1    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\pkgdata.py:45(getResource)
     2052    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\common.py:121(classes)
        4    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\io\common.py:304(_get_filepath_or_buffer)
     1040    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_config\config.py:617(_select_options)
     1029    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:214(is_extension)
   178/89    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pygame\sprite.py:118(add)
       64    0.000    0.000    0.000    0.000 C:\Users\jimru\Desktop\zelda_nes\tile.py:5(__init__)
        4    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.000    0.000 <frozen genericpath>:60(getsize)
        8    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\generic.py:5598(<genexpr>)
      170    0.000    0.000    0.000    0.000 <frozen ntpath>:179(splitroot)
        5    0.000    0.000    0.000    0.000 {built-in method _io.open}
     2060    0.000    0.000    0.000    0.000 C:\Users\jimru\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\blocks.py:718(dtype)
